type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,Rp275 Jt,"Grogol Petamburan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp3,5 M","Penjaringan, Kota Jakarta Utara",4 KT,LT 100m²,LB 143m²,
Rumah Second,"Rp5,8 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",7 KT,LT 324m²,LB 500m²,HGB
Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 77m²,LB 275m²,SHM
Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 75m²,LB 180m²,SHM
Rumah Second,"Rp1,8 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 63m²,HGB
Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 100m²,SHM
Rumah Second,Rp18 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 707m²,LB 270m²,SHM
Rumah Second,"Rp14,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 484m²,LB 450m²,SHM
Rumah Second,Rp20 M,"Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 800m²,LB 750m²,SHM
Rumah Second,"Rp6,5 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 199m²,LB 250m²,SHM
Rumah Second,"Rp2,2 M","Pesanggrahan, Kota Jakarta Selatan",3 KT,LT 241m²,LB 300m²,SHM
Rumah Second,"Rp1,5 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 69m²,LB 130m²,SHM
Rumah Second,"Rp2,5 M","Pal Merah (Palmerah), Kota Jakarta Barat",2 KT,LT 170m²,LB 170m²,
Rumah Second,"Rp2,5 M","Pal Merah (Palmerah), Kota Jakarta Barat",3 KT,LT 150m²,LB 200m²,
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 65m²,LB 110m²,SHM
Rumah Second,"Rp3,3 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 143m²,LB 285m²,SHM
Rumah Second,"Rp2,6 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 107m²,LB 160m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 62m²,LB 95m²,SHM
Rumah Second,Rp3 M,"Cengkareng, Kota Jakarta Barat",1 KT,LT 879m²,LB 400m²,SHM
Rumah Second,"Rp12,5 M","Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 250m²,LB 350m²,SHM
Rumah Second,"Rp1,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 84m²,LB 120m²,SHM
Rumah Second,"Rp36,5 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",4 KT,LT 509m²,LB 650m²,SHM
Rumah Second,"Rp5,7 M","Mampang Prapatan, Kota Jakarta Selatan",3 KT,LT 91m²,LB 262m²,HGB
Rumah Second,"Rp5,5 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 185m²,LB 255m²,SHM
Rumah Second,"Rp12,5 M","Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 250m²,LB 350m²,SHM
Rumah Second,"Rp1,6 M","Ciracas, Kota Jakarta Timur",3 KT,LT 300m²,LB 300m²,
Rumah Second,"Rp4,3 M","Tebet, Kota Jakarta Selatan",8 KT,LT 337m²,LB 337m²,
Rumah Second,"Rp4,3 M","Tebet, Kota Jakarta Selatan",8 KT,LT 337m²,LB 337m²,
Rumah Second,Rp470 Jt,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 132m²,LB 90m²,SHM
Rumah Second,"Rp3,5 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 144m²,LB 120m²,SHM
Rumah Second,Rp4 M,"Cilandak, Kota Jakarta Selatan",3 KT,LT 118m²,LB 149m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 75m²,LB 150m²,SHM
Rumah Second,Rp285 Jt,"Kembangan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp2,2 M","Kebayoran Lama, Kota Jakarta Selatan",16 KT,LT 63m²,LB 100m²,
Rumah Second,"Rp12,5 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 405m²,LB 120m²,SHM
Rumah Second,Rp30 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 616m²,LB 600m²,SHM
Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",4 KT,LT 200m²,LB 354m²,SHM
Rumah Second,Rp275 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp7,9 M","Mampang Prapatan, Kota Jakarta Selatan",3 KT,LT 535m²,LB 535m²,
Rumah Second,"Rp4,7 M","Cempaka Putih, Kota Jakarta Pusat",3 KT,LT 258m²,LB 258m²,
Rumah Second,Rp5 M,"Cempaka Putih, Kota Jakarta Pusat",3 KT,LT 261m²,LB 261m²,
Rumah Second,"Rp8,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 502m²,LB 250m²,SHM
Rumah Second,"Rp3,6 M","Kembangan, Kota Jakarta Barat",5 KT,LT 250m²,LB 300m²,SHM
Rumah Second,"Rp5,5 M","Cilandak, Kota Jakarta Selatan",8 KT,LT 175m²,LB 250m²,SHM
Rumah Second,Rp110 M,"Menteng, Kota Jakarta Pusat",5 KT,LT 1100m²,LB 1000m²,SHM
Rumah Second,Rp115 M,"Menteng, Kota Jakarta Pusat",5 KT,LT 980m²,LB 500m²,SHM
Rumah Second,"Rp4,5 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 258m²,LB 100m²,SHM
Rumah Second,"Rp3,6 M","Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 195m²,LB 190m²,SHM
Rumah Second,"Rp4,2 M","Mampang Prapatan, Kota Jakarta Selatan",5 KT,LT 150m²,LB 250m²,SHM
